potentiometer0,potentiometer1,potentiometer2,potentiometer3,potentiometer4,potentiometer5,potentiometer6,encoder0,encoder1,encoder2,encoder3,encoder4,encoder5,encoder6
-0.8185492354954247,-0.3812036829740393,0.0036588954111360164,-2.1713724856776833,-2.1707262398086193,-2.1675614168799067,-2.198995931565849,-0.8030561006591098,-0.3797962800214872,0.00315776244,-2.1889204822034727,-2.205419882823097,-2.2032736193278613,-2.209980692750473
-0.8309803769408315,-0.38554337603930877,0.003712061409854816,-2.203970990089276,-2.1997318543050035,-2.195705543358888,-2.229352353204686,-0.8145475271759559,-0.38415962409542403,0.00319924372,-2.22245584931653,-2.237077269377823,-2.234796864414135,-2.2415039378367467
-0.8425578777719605,-0.3897430790056984,0.0037774964852010234,-2.2360997754171277,-2.2285533061696654,-2.224851564307995,-2.258042873656026,-0.8258536081038206,-0.38849207723786394,0.0032472064500000002,-2.2551863676188737,-2.268063948590288,-2.266320109500409,-2.272356475580759
-0.8540820260646982,-0.3940827720709674,0.003855200637174653,-2.2679467292947346,-2.2576510019819116,-2.2531778534179088,-2.286178093711533,-0.8369666207098296,-0.3928013621816812,0.0032925766000000004,-2.2876486029843135,-2.2986482033973963,-2.2977092131182304,-2.3028065889194154
-0.8651260015119047,-0.3982124799879174,0.003908366635893449,-2.2991360764551056,-2.285919965951404,-2.281686305158755,-2.3138505634371804,-0.8478093376652409,-0.3970488652625047,0.0033379467500000005,-2.319708413944396,-2.3288300337991474,-2.328561750862243,-2.3327201363842622
-0.877237027726957,-0.40276215820150596,0.003965622326821381,-2.332298243767186,-2.3164909628174346,-2.3115609766315908,-2.343281484416297,-0.8592467050519674,-0.4015203275966807,0.00337942803,-2.354182771336619,-2.361292269164587,-2.3614264106330394,-2.3645116644074404
-0.8880675930205946,-0.4067518760195761,0.0040187883255401805,-2.3630178718438164,-2.3452203333662354,-2.338976452586845,-2.3704912038120836,-0.8695333852404344,-0.4056519896843908,0.00342350189,-2.3867791481705107,-2.3924130898455043,-2.3921448069085995,-2.394693494809192
-0.898791453237447,-0.4107415938376462,0.0040719543242589765,-2.3941132751874394,-2.37367345996745,-2.365481115387439,-2.3986264238675914,-0.8795574925111779,-0.4097604835734783,0.00347146462,-2.4195096664728544,-2.4232656275895166,-2.422594920247256,-2.425143608147848
-0.9096753710694767,-0.4150812869029157,0.004149658476232599,-2.4283088244837487,-2.403507806306589,-2.395082542913877,-2.429260495704345,-0.8899600136927582,-0.41410065944879243,0.0035272050900000003,-2.4549230141442426,-2.456800994702574,-2.4554595800180516,-2.4582765508555484
-0.9199724109791914,-0.4193509849187449,0.004206914167160538,-2.4606254974450965,-2.4328817460664194,-2.422315856238199,-2.4580435662216567,-0.8994049159979348,-0.41817053967350876,0.0035751678200000004,-2.4887266641942047,-2.488592522725752,-2.48725110804123,-2.4899339374102745
-0.9292024001210593,-0.4235156903604147,0.0042805286269250245,-2.493411889490185,-2.4618873605628044,-2.4521905277110347,-2.487567037266745,-0.9085872453853878,-0.42222497443247664,0.00361794539,-2.5226644557126185,-2.520652333685835,-2.519981626343574,-2.5215913239650005
-0.9389125621084584,-0.4277153933268041,0.0043214255490164055,-2.528265045503732,-2.494484146377788,-2.4835225002313255,-2.5193117098951627,-0.9180475931563128,-0.426572873040665,0.0036555378,-2.558614369257816,-2.55526083254651,-2.5555291154834148,-2.555931539888771
-0.9479291410967574,-0.43177510619431425,0.004354143086689511,-2.5607696060985767,-2.524410574032789,-2.5130328464422966,-2.5482798805444182,-0.9266275493795763,-0.4306195850667587,0.0036905376300000003,-2.59134488756016,-2.586784077632784,-2.5877230679119494,-2.587320643506593
-0.9565188997779182,-0.4363247844079028,0.0043991297009900315,-2.5931802228766725,-2.555534058793988,-2.543180761861529,-2.579932003106865,-0.9354469103219406,-0.43495976094207284,0.0037333152000000006,-2.6238071229255993,-2.6192463129982233,-2.6197828788720323,-2.619514595935128
-0.9645217805367634,-0.4403145022259729,0.004468654468545382,-2.6217391431680954,-2.5820534777621127,-2.567681635721873,-2.6070491724366787,-0.9434167706481403,-0.4390682548311603,0.0037877593800000006,-2.6519768313005674,-2.6478184457785483,-2.6476843043100957,-2.6480867287154526
-0.972417956218824,-0.44454920271708254,0.004534089543891593,-2.6482312994910617,-2.607836246203343,-2.5918181843203536,-2.633240841106773,-0.9511626717209876,-0.4432230851174931,0.0038370184000000003,-2.678805124991013,-2.6754515882797074,-2.6747808809374463,-2.6755857297481596
-0.9807409522080233,-0.4488538982576318,0.004595434927028668,-2.675287118714515,-2.634539827803189,-2.617503115281753,-2.6599878101727,-0.9590321365198223,-0.44764048832154946,0.0038888700000000004,-2.7067065504290766,-2.7036212966546755,-2.7030847307808665,-2.7037554381231277
-0.9884237177365145,-0.4528436160757019,0.004648600925747464,-2.7012156121369926,-2.658388888611328,-2.6408199320410395,-2.684698677787241,-0.9660907143668634,-0.4518107640736307,0.003935536440000001,-2.7323275709034522,-2.729108175660599,-2.7288398927236943,-2.7293764585975033
-0.9957863680346526,-0.45697332399265167,0.004685408155629709,-2.7256410044914996,-2.680764648365681,-2.663772423538461,-2.70885424500595,-0.972817214700313,-0.4560042080243346,0.003975721430000001,-2.7570096010986624,-2.7535219229189045,-2.7536560643873567,-2.7541926302611657
-1.0020286150265518,-0.46134801458264074,0.004714036001093675,-2.7505361159297466,-2.704337465226235,-2.6866338337204176,-2.731714111301049,-0.9796054968967564,-0.46048339309138486,0.00401461013,-2.7816916312938726,-2.7779356701772104,-2.778472236051019,-2.779008801924828
